,재 항 선 박 현 황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,▣ 군산항                           http://gunsan.mof.go.kr,,,,,,,,,,,                    2020.11.17.(화) 11:00,,,
1,"접안
(예정)","호출
부호",선  명,국적,총톤수,길이,화 물,수 량,"입 항
시 각","출 항
시 각",전출항지 ,화 주,대리점,하역사,비고
2,12-1,V3ZD7,CHANG SHAN,벨리즈,1983,80,단백피,2000,"11/17
07:00","11/18
15:00",중국,선진,아스팍,통운,중국
3,13-1,9LU2300,SHENG YUAN,시에라리온,1971,79,고철,3000,"11/14
22:00","11/18
14:00",일본,세아,아스팍,통운,
4,21,V3LH2,MING YUAN,벨리즈,1496,75,고철,1934,"11/14
09:00","11.16
17:00",일본,세아,서교,통운,
5,22,DSOY4,TY IRIS,대한민국,4105,92,슬래그,6000,"11/16
14:30","11/18
15:00",부산,쌍용,서일,통운,
6,52,9LU2038,FU HAI,시에라리온,398,53,공산품,100,"11/03
13;20","11/17
18:00",중국,TS,아스팍,통운,중국
7,61,3FAM4,BORA,파나마,43974,229,옥수수,28000,"11/16
03:00","11/17
18:00",인천,대상,수정,선광,
8,64,VRHQ8,FORTUNE BIRD,홍콩,31248,182.9,선용품,,"11/17
12:00","11/18
17:00",중국,,제일,,중국
9,71,3FGW5,NEMRUT BAY,파나마,21627,179.97,뉴송,8838,"11/12
12:00","11/19
17:00",뉴질랜드,목협,아스팍,7부두운영,"정박지
이선 예정"
10,72,DSQQ4,JK GALAXY,대한민국,11481,124.5,우드펠렛,11114,"11/14
12:00","11/18
18:00",베트남,군장,아스팍,7부두운영,
11,73,VRQK4,ISABELA ISLAND,홍콩,23432,180,미송,1354,"11/14
09:00","11/19
22:00",중국,목제,아스팍,7부두운영,중국
12,74,3FLE9,HONG SHENG,파나마,40896,225,유연탄,55000,"11/14
17:30","11/19
18:00",광양,OCI,아스팍,통운,
13,79,3ESF6,SKY VENUS,파나마,3606,99.3,인고트,3000,"11/13
21:00","11/19
18:00",일본,하이요,아스팍,군장신항만,
14,입 항 예 정 선 박,,,,,,,,,,전출항지 ,화주,대리점,하역사,비고
15,,,,,,,,,,,,,,,
16,54,V3CG3,GUANG XING,벨리즈,1970,74.2,활석,2307,"11/18
15:00",,,한솔,서교,한솔,
17,11,060892,삼성2호,대한민국,2881,98.93,슬래그,5200,"11/15
17:50",,,쌍용,서일,통운,
18,33-2,D7OO,GOLDEN KEY HANA,대한민국,2497,87.17,메탄,1500,"11/18
01:00",,,한국통상,아스팍,세방,
19,,9LU2366,CHANG RONG,시에라리온,1457,70,고철,2000,"11/18
18:00",,,세아,아스팍,통운,
20,,3EWP6,SHIKOKU ISLAND,파나마,21168,176.9,수산화알루미늄,2300,"11/19
PM",,,오성,아스팍,통운,
21,57,UBAS9,ZALIV STRELOK,러시아,3159,100,가스오일,4300,"11/15
20:00",,,수성,제일,세방,제2정박
22,21,9LU2531,XI CHENG,시에라리온,1476,70,고철,1912,"11/18
04:00",,,세아,서교,통운,
23,53,,BERGE HALASAN,,,,뉴송,16894,"11/19
13:00",,,목협,아스팍,한솔,
24,52,3FVX4,VAST OCEAN 1,파나마,7657,114,기자재,174,"11/19
14:00",,,,서교,통운,
25,73-1,V3ZM7,LIN YANG,벨리즈,5552,99,단백피,4200,"11/18
01:00",,,농협,서교,7부두운영,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
